Combination,Rank,FinalFitness,Representation
permutation_rank_scx_inversion,2.3214285714285716,965.5755078548824,permutation
permutation_roulette_wheel_scx_inversion,2.982142857142857,974.3975003077582,permutation
permutation_tournament_scx_inversion,3.0714285714285716,974.7598018413181,permutation
permutation_stochastic_universal_scx_inversion,4.357142857142857,982.3809909826285,permutation
permutation_roulette_wheel_scx_scramble,6.25,999.1611283199425,permutation
permutation_stochastic_universal_scx_scramble,7.696428571428571,1007.772104567741,permutation
permutation_roulette_wheel_scx_swap,11.142857142857142,1036.2382847337474,permutation
permutation_roulette_wheel_scx_displacement,12.714285714285714,1044.9071851827455,permutation
permutation_rank_scx_scramble,12.732142857142858,1045.5400554416935,permutation
permutation_stochastic_universal_scx_swap,13.875,1050.7797978040423,permutation
permutation_rank_scx_swap,15.375,1058.2872524899658,permutation
permutation_stochastic_universal_scx_displacement,15.517857142857142,1057.7416464404891,permutation
permutation_roulette_wheel_scx_insert,15.785714285714286,1058.6992581485267,permutation
permutation_tournament_scx_swap,16.035714285714285,1062.5341843650162,permutation
permutation_elitism_scx_inversion,16.696428571428573,1135.8447897185301,permutation
permutation_tournament_scx_insert,17.125,1070.8596634305125,permutation
permutation_rank_scx_insert,17.625,1076.332970869024,permutation
permutation_elitism_ox_inversion,18.482142857142858,1178.9312411523802,permutation
permutation_stochastic_universal_scx_insert,18.982142857142858,1077.1008940253112,permutation
permutation_boltzmann_pos_inversion,19.678571428571427,1189.66662584114,permutation
permutation_rank_scx_displacement,19.857142857142858,1084.2031722743022,permutation
permutation_elitism_pmx_inversion,20.517857142857142,1189.4144034555331,permutation
permutation_boltzmann_ox_inversion,20.625,1197.5981951402953,permutation
permutation_boltzmann_scx_inversion,20.964285714285715,1198.3932204722994,permutation
permutation_boltzmann_obx_inversion,21.232142857142858,1205.4123531165485,permutation
permutation_boltzmann_pmx_inversion,21.285714285714285,1202.8231091589078,permutation
permutation_tournament_scx_scramble,22.696428571428573,1114.8054358946642,permutation
permutation_tournament_scx_displacement,23.857142857142858,1136.3417653961912,permutation
permutation_boltzmann_cx_inversion,24.053571428571427,1230.1414781560477,permutation
permutation_elitism_scx_swap,25.75,1212.254189169121,permutation
permutation_elitism_scx_insert,30.928571428571427,1281.8409216791447,permutation
permutation_elitism_obx_inversion,31.964285714285715,1298.0653422297025,permutation
permutation_elitism_pos_inversion,32.839285714285715,1309.3111313414236,permutation
permutation_tournament_pmx_inversion,36.089285714285715,1343.4014016206754,permutation
permutation_elitism_cx_inversion,39.214285714285715,1359.970857557417,permutation
permutation_tournament_ox_inversion,39.267857142857146,1379.6002365278734,permutation
permutation_boltzmann_scx_swap,39.80357142857143,1390.148678907622,permutation
permutation_boltzmann_scx_insert,46.214285714285715,1423.2292938841435,permutation
permutation_elitism_scx_scramble,46.607142857142854,1420.929732975567,permutation
permutation_elitism_pmx_displacement,47.142857142857146,1417.2050144829936,permutation
permutation_elitism_ox_swap,48.25,1444.206536113613,permutation
permutation_elitism_pmx_insert,48.339285714285715,1442.7316372248977,permutation
permutation_elitism_scx_displacement,49.875,1440.5682977587924,permutation
permutation_elitism_ox_insert,50.714285714285715,1452.9745955666663,permutation
permutation_boltzmann_ox_swap,50.839285714285715,1464.354656316577,permutation
permutation_boltzmann_pmx_swap,50.94642857142857,1465.448217035622,permutation
permutation_boltzmann_pos_swap,52.107142857142854,1472.588299372275,permutation
permutation_boltzmann_ox_insert,52.30357142857143,1463.0170350333049,permutation
permutation_elitism_ox_displacement,52.357142857142854,1445.458343479781,permutation
permutation_boltzmann_cx_swap,52.625,1473.3136191954684,permutation
