Representation,Crossover,C1,C2,R1,R2,RC1,RC2,Category
binary,multi_point,0.8035082682924783,0.7869966551993298,0.789618382970573,0.7833891414983525,0.7970834341826954,0.7884410082122453,Crossover
binary,shuffle,0.7943531619208664,0.7804144483912691,0.7800737370438975,0.7718188988927658,0.7864080802857745,0.7793801846451781,Crossover
binary,single_point,0.8142879082064498,0.7989521316897252,0.8016717192845128,0.7919671919354415,0.8101244475887855,0.7975869838597505,Crossover
binary,two_point,0.8106065961548652,0.791804837896245,0.7976830063360415,0.7881130324970063,0.8028359350936256,0.7924775647001795,Crossover
binary,uniform,0.7747870574951741,0.7650119849391273,0.7605933533933827,0.7591651837452247,0.7676661652233921,0.7607929872022443,Crossover
permutation,cx,0.47937472285442795,0.4467238697531553,0.4553041023127783,0.4301712035324162,0.4677877183432589,0.44328522823791455,Crossover
permutation,erx,0.78918738413426,0.7465725348740461,0.7740557128359051,0.7381635652740681,0.7802551421164711,0.7458081197845079,Crossover
permutation,obx,0.5156451605676824,0.4884044536118759,0.49033603014943955,0.4732267100478138,0.5097996253286313,0.4858624754597413,Crossover
permutation,ox,0.5279424412689204,0.490264624469764,0.5116170186210152,0.47630779045516336,0.5260300542746704,0.49142257434809716,Crossover
permutation,pmx,0.5110278317544291,0.47743951766146087,0.4957361167582383,0.4651063382038445,0.5054085006712878,0.4763214621869958,Crossover
permutation,pos,0.5140714855237195,0.48745015256064206,0.48786310444661585,0.47485122345948616,0.5081054829629246,0.48339274105934166,Crossover
permutation,scx,0.09991969149055613,0.07885553337672196,0.09423425454065813,0.07512671476316492,0.09776228883271136,0.07988458059490085,Crossover
real_valued,blx_alpha,0.892148065377613,0.8866707925309201,0.8873679843765655,0.8823705769420344,0.8942969489957997,0.8895634134928111,Crossover
real_valued,flat,0.726415727124695,0.7129595995392523,0.7117184066044319,0.7071342706377625,0.7262924168799834,0.7218155951137706,Crossover
real_valued,sbx,0.6693796101531828,0.7091254046803347,0.7738448253054911,0.7733896711862381,0.7809391449896075,0.7738157499590756,Crossover
