Representation,C1,C2,R1,R2,RC1,RC2,Category
binary,0.7995085984139668,0.7846360116231393,0.7859280398056815,0.7788906897137582,0.7928236124748547,0.7837357457239196,Representation
permutation,0.49102410251342793,0.4593872409010952,0.4727351913806644,0.4475647922479939,0.4850212589328508,0.4579967402387856,Representation
real_valued,0.7626478008851637,0.7695852655835024,0.7909770720954962,0.787631506255345,0.8005095036217968,0.7950649195218858,Representation
