Representation,Selection,C1,C2,R1,R2,RC1,RC2,Category
binary,boltzmann,0.8056613944800963,0.7828859660173111,0.7873553234803603,0.7754901700656517,0.7967251109857004,0.7810529626848818,Selection
binary,elitism,0.8075216403732477,0.7862412772438304,0.7906179574954196,0.7778638833196331,0.7969894854519491,0.7836207375153655,Selection
binary,rank,0.784715675854814,0.7749991548800316,0.7732046212254409,0.7697787623497173,0.7790036672907514,0.7743507752411262,Selection
binary,roulette_wheel,0.8027198909977162,0.7930881775704147,0.7916081211750979,0.7893369192898683,0.8002813259888382,0.7934413803991021,Selection
binary,stochastic_universal,0.8021225738265889,0.7898328923807127,0.7911579892150821,0.7872092123568333,0.7974294644545473,0.7922755201845437,Selection
binary,tournament,0.7943104149513373,0.780768601646535,0.7816242262426882,0.7736651909008453,0.7865126206773415,0.7776730983184981,Selection
permutation,boltzmann,0.33760581204544593,0.25375182817925773,0.29522866602799164,0.2268309002378985,0.3142541185507016,0.25233413375172287,Selection
permutation,elitism,0.3223214704569206,0.24356644234154626,0.28234748979318147,0.22157233146421015,0.3052768279204418,0.2440169378096228,Selection
permutation,rank,0.5631847330047651,0.5550423298386955,0.5632753587054761,0.5530950328955568,0.5733600415978625,0.5547692538864488,Selection
permutation,roulette_wheel,0.6544685775296314,0.6538179019520463,0.6503509418386023,0.6493509937218895,0.6548839208405587,0.6505954769159868,Selection
permutation,stochastic_universal,0.6582336217653854,0.6550851487822263,0.6550859843866765,0.6522852444365078,0.6619461989468733,0.654102973729366,Selection
permutation,tournament,0.41033040027841905,0.3950597943127988,0.39012270753205797,0.3822542507319004,0.40040644574066686,0.39216166533956626,Selection
real_valued,boltzmann,0.7898036943175772,0.7915565224148976,0.8335091581711097,0.8300994319044969,0.8219226004607452,0.8199926286293437,Selection
real_valued,elitism,0.787496117950654,0.7965904505097774,0.851587916627642,0.8475713683518574,0.82818360033581,0.8181230714888336,Selection
real_valued,rank,0.7478773625282774,0.7539533318033712,0.757084527307569,0.7538354753407591,0.7895091879854523,0.7788232502446869,Selection
real_valued,roulette_wheel,0.780153126734633,0.7860094004769267,0.7989876301564514,0.7992789869174614,0.8138445060671108,0.8103929264824278,Selection
real_valued,stochastic_universal,0.7785198098961668,0.7852682334288705,0.7987011322466204,0.7931336732627974,0.8129557705434752,0.8115878391113951,Selection
real_valued,tournament,0.6920366938836735,0.7041336548671708,0.7059920680635844,0.7018701017546977,0.736641356338188,0.7314698011746278,Selection
