generation,fitness_run_1,diversity_run_1,fitness_run_2,diversity_run_2,fitness_run_3,diversity_run_3,fitness_run_4,diversity_run_4,fitness_run_5,diversity_run_5,fitness_average,diversity_average
1,4211.171080056565,93.6746835443038,4142.823822590812,95.49462025316456,4117.327820571318,94.03607594936709,4070.6670477851508,92.94525316455696,4244.101194654513,93.8123417721519,4157.218193131672,93.99259493670885
2,4143.244021147492,81.52689873417721,4001.0534800404043,90.92151898734177,4117.327820571318,92.19556962025317,4036.2384721157305,90.25569620253165,4022.072933852144,90.80632911392405,4063.987345545418,89.14120253164558
3,4096.729329929,79.89493670886075,3959.7809152301434,84.2493670886076,4044.4486960464233,83.88132911392405,3962.4390791307105,82.38164556962025,3983.172740842438,88.5373417721519,4009.3141522357428,83.78892405063291
4,3951.69028004247,80.69651898734178,3958.5820465784527,83.44715189873418,4019.752162863887,76.97784810126582,3880.4705443907587,82.36455696202532,3896.2256593998577,83.73860759493671,3941.3441386550853,81.44493670886075
5,3951.69028004247,76.57183544303797,3958.5820465784527,81.41645569620253,3923.112186958351,74.6879746835443,3775.9929372121014,76.05981012658228,3896.2256593998577,77.12816455696202,3901.120622038247,77.17284810126583
6,3951.69028004247,71.02753164556962,3840.368008026955,71.975,3855.813601869871,64.4503164556962,3743.3146887904104,69.10126582278481,3896.2256593998577,70.60664556962026,3857.4824476259128,69.43215189873418
7,3950.8678942602182,66.92626582278481,3839.7999339535436,64.6123417721519,3779.4190368816176,64.30917721518988,3707.7606776638704,58.64018987341772,3824.966616274077,69.4753164556962,3820.562831806665,64.7926582278481
8,3844.5539937102335,65.07373417721519,3822.2457137019355,59.16360759493671,3747.983319685024,55.14651898734177,3664.7542781381317,55.78575949367089,3785.055511941772,73.85981012658227,3772.9185634354194,61.80588607594937
9,3816.013328025552,73.15316455696203,3771.464243797266,58.107911392405065,3747.983319685024,57.383227848101264,3658.120950270859,58.22626582278481,3785.055511941772,74.47310126582279,3755.7274707440947,64.26873417721518
10,3816.013328025552,68.45632911392406,3737.792621941444,56.70537974683544,3717.7127345701383,58.94082278481012,3607.2093141211835,56.88797468354431,3738.1752965158043,67.85981012658227,3723.380659034825,61.77006329113924
11,3782.6822813804,63.80949367088608,3731.8065611632755,53.98860759493671,3717.7127345701383,71.4746835443038,3607.2093141211835,65.625,3640.3356109594847,59.80443037974683,3695.949300438897,62.94044303797468
12,3782.6822813804,68.30632911392405,3696.0006557998613,40.928481012658224,3653.0935339611606,69.94303797468355,3589.7773502552427,60.77025316455696,3640.3356109594847,55.14556962025316,3672.3778864712303,59.018734177215194
13,3719.256249713015,63.710443037974684,3646.169957571052,53.53575949367089,3653.0935339611606,68.09272151898735,3551.434360706843,52.44525316455696,3575.4805193340785,45.12405063291139,3629.08692425723,56.58164556962025
14,3719.256249713015,72.72310126582279,3633.4038872181864,52.252848101265826,3652.456527938876,65.95443037974684,3513.113978024092,56.76455696202532,3575.4805193340785,55.765822784810126,3618.74223244565,60.69215189873419
15,3719.256249713015,72.94525316455696,3617.947234758165,51.61044303797468,3650.381155516261,53.77879746835443,3497.343514832788,55.32626582278481,3563.922390591491,51.00063291139241,3609.770109082344,56.93227848101266
16,3681.470992314324,69.60886075949367,3543.267103489731,54.313607594936705,3642.9642577490486,47.55569620253164,3427.2377569975088,58.723417721518985,3500.488874327015,41.44208860759494,3559.0857969755257,54.32873417721519
17,3651.80506855334,68.45094936708861,3543.267103489731,77.14430379746835,3642.9642577490486,69.33006329113924,3392.698951601693,50.018037974683544,3500.488874327015,53.41677215189873,3546.2448511441653,63.67202531645569
18,3651.80506855334,64.17056962025316,3543.267103489731,69.85601265822785,3642.9642577490486,63.85601265822785,3363.714925875088,47.379113924050635,3490.6592257487937,48.914240506329115,3538.4821162832,58.83518987341772
19,3651.80506855334,56.36518987341772,3480.474127782055,52.45443037974684,3642.9642577490486,63.40696202531645,3264.1384418327543,75.48639240506328,3435.3311391300454,52.55,3494.9426070094487,60.052594936708864
20,3640.8791525926727,56.96518987341772,3461.1850670062413,57.5373417721519,3642.9642577490486,62.7876582278481,3247.6450874332113,68.15126582278481,3420.0297417753604,52.74873417721519,3482.540661311307,59.63803797468354
21,3638.0684212934484,53.78132911392405,3461.1850670062413,51.83006329113924,3642.9642577490486,51.96518987341772,3229.439568671275,58.29620253164557,3403.2684392633,64.93639240506329,3474.9851507966623,56.16183544303798
22,3638.0684212934484,49.799367088607596,3414.0791273509144,51.1,3642.9642577490486,50.97911392405063,3191.544458519258,68.38987341772152,3403.2684392633,57.02310126582279,3457.984940835194,55.45829113924051
23,3634.132528693918,52.1746835443038,3414.0791273509144,81.74367088607595,3587.47391889049,63.32373417721519,3191.544458519258,70.3373417721519,3295.9590735605057,51.87879746835443,3424.637821403017,63.89164556962025
24,3627.142505332781,49.56740506329114,3398.189426482501,76.82594936708861,3587.47391889049,75.90664556962025,3191.544458519258,62.662974683544306,3295.9590735605057,71.06550632911393,3420.0618765571076,67.20569620253164
25,3627.142505332781,54.812658227848104,3398.189426482501,79.7012658227848,3581.0095102775267,66.69018987341772,3191.544458519258,56.459177215189875,3295.9590735605057,66.86708860759494,3418.768994834515,64.9060759493671
26,3627.142505332781,49.35886075949367,3376.575272903369,76.14746835443037,3581.0095102775267,54.824367088607595,3190.552754794964,53.94493670886076,3261.025824241643,57.165189873417724,3407.261173510057,58.28816455696202
27,3595.3255977891467,50.584177215189875,3344.5452110362476,65.88037974683544,3544.5243152079497,53.02594936708861,3190.552754794964,54.1373417721519,3252.5485584320777,67.09303797468354,3385.499287452077,58.14417721518987
28,3595.3255977891467,75.6367088607595,3306.7732138116016,54.88417721518987,3535.799742345829,66.60443037974683,3177.3731178293656,42.278481012658226,3218.741665489034,63.57658227848101,3366.802667452995,60.59607594936708
29,3595.3255977891467,73.08829113924051,3280.872262914484,54.85569620253165,3535.799742345829,63.0753164556962,3168.418807910227,49.67943037974683,3218.741665489034,64.93987341772151,3359.8316152897437,61.12772151898734
