,Instance,Combination,Encoding,FinalFitness,FinalDiversity,Rank
0,C101,binary_boltzmann_multi_point_bit_flip,binary,3458.2135275974165,18.468218304602644,322.0
1,C101,binary_boltzmann_multi_point_interchanging,binary,2179.43780963499,0.8980340144459588,139.0
2,C101,binary_boltzmann_multi_point_uniform,binary,3353.6728655843617,14.218494550665048,278.0
3,C101,binary_boltzmann_shuffle_bit_flip,binary,3418.291884379466,18.30527902858558,291.0
4,C101,binary_boltzmann_shuffle_interchanging,binary,2094.177444744303,0.9222285291523356,113.0
5,C101,binary_boltzmann_shuffle_uniform,binary,3385.196090546999,14.55155383253688,285.0
6,C101,binary_boltzmann_single_point_bit_flip,binary,3476.488687395674,18.32775863351584,338.0
7,C101,binary_boltzmann_single_point_interchanging,binary,2134.907447283925,0.8859908699972359,127.0
8,C101,binary_boltzmann_single_point_uniform,binary,3381.193977390556,14.289287287720214,284.0
9,C101,binary_boltzmann_two_point_bit_flip,binary,3479.239336162579,18.31123854839785,340.0
10,C101,binary_boltzmann_two_point_interchanging,binary,2074.3399201311,1.3023980282008083,103.0
11,C101,binary_boltzmann_two_point_uniform,binary,3380.8318759107606,14.32999803323626,283.0
12,C101,binary_boltzmann_uniform_bit_flip,binary,3446.033357757725,18.369277880565186,307.0
13,C101,binary_boltzmann_uniform_interchanging,binary,2180.6328498292373,0.6028795800828537,141.0
14,C101,binary_boltzmann_uniform_uniform,binary,3376.222010203971,14.273218808266323,280.0
15,C101,binary_elitism_multi_point_bit_flip,binary,3492.97971101165,19.48913027141125,351.0
16,C101,binary_elitism_multi_point_interchanging,binary,2084.0558040217925,0.7852850187923524,106.0
17,C101,binary_elitism_multi_point_uniform,binary,3450.508343193162,17.949006093858983,309.0
18,C101,binary_elitism_shuffle_bit_flip,binary,3464.815982635409,19.52262222385689,329.0
19,C101,binary_elitism_shuffle_interchanging,binary,2124.4975515203914,0.6633357314982049,125.0
20,C101,binary_elitism_shuffle_uniform,binary,3441.980816514707,17.649671957936928,304.0
21,C101,binary_elitism_single_point_bit_flip,binary,3481.068135393901,19.52647735037154,344.0
22,C101,binary_elitism_single_point_interchanging,binary,2087.706854312924,0.7166673862571161,108.0
23,C101,binary_elitism_single_point_uniform,binary,3362.9259736642066,17.876939912060113,279.0
24,C101,binary_elitism_two_point_bit_flip,binary,3456.416838098855,19.512150014668613,317.0
25,C101,binary_elitism_two_point_interchanging,binary,2227.7469588450253,0.6379474053861202,153.0
26,C101,binary_elitism_two_point_uniform,binary,3411.0619334926496,17.62316848192513,290.0
27,C101,binary_elitism_uniform_bit_flip,binary,3481.9721577875694,19.50558072615062,345.0
28,C101,binary_elitism_uniform_interchanging,binary,2221.50336696004,0.8480463989017022,150.0
29,C101,binary_elitism_uniform_uniform,binary,3478.640715681505,17.807934926233223,339.0
30,C101,binary_rank_multi_point_bit_flip,binary,3452.3208776720785,19.96205454103372,312.0
31,C101,binary_rank_multi_point_interchanging,binary,1979.8222662777368,1.4750938388005532,97.0
32,C101,binary_rank_multi_point_uniform,binary,3405.856981427181,19.83373954845497,288.0
33,C101,binary_rank_shuffle_bit_flip,binary,3465.3204355342555,19.96822515876636,330.0
34,C101,binary_rank_shuffle_interchanging,binary,1925.760123137647,1.6834985702923078,92.0
35,C101,binary_rank_shuffle_uniform,binary,3470.337071744923,19.814016910429416,335.0
36,C101,binary_rank_single_point_bit_flip,binary,3480.880448583831,19.96730284401776,343.0
37,C101,binary_rank_single_point_interchanging,binary,2218.0865595117475,1.2072782721930122,148.0
38,C101,binary_rank_single_point_uniform,binary,3440.140735981187,19.8305568981418,302.0
39,C101,binary_rank_two_point_bit_flip,binary,3499.2101281395176,19.96332790157142,353.0
40,C101,binary_rank_two_point_interchanging,binary,2124.4294898589,1.3873498250616036,124.0
41,C101,binary_rank_two_point_uniform,binary,3437.4387923871777,19.8242668553767,301.0
42,C101,binary_rank_uniform_bit_flip,binary,3407.066364334229,19.95367813907272,289.0
43,C101,binary_rank_uniform_interchanging,binary,1689.408009879829,1.292920305339465,60.0
44,C101,binary_rank_uniform_uniform,binary,3429.6167413305257,19.832270980930375,296.0
45,C101,binary_roulette_wheel_multi_point_bit_flip,binary,3470.327719241794,19.971201761206476,334.0
46,C101,binary_roulette_wheel_multi_point_interchanging,binary,2124.127498871502,3.0569239008282407,123.0
47,C101,binary_roulette_wheel_multi_point_uniform,binary,3462.4896832686463,19.84746394083334,328.0
48,C101,binary_roulette_wheel_shuffle_bit_flip,binary,3498.823154992489,19.96730108932559,352.0
49,C101,binary_roulette_wheel_shuffle_interchanging,binary,2031.8767578372224,2.9864748292375447,99.0
50,C101,binary_roulette_wheel_shuffle_uniform,binary,3491.5469961799527,19.86481779451089,350.0
51,C101,binary_roulette_wheel_single_point_bit_flip,binary,3461.1514148704628,19.97528091303648,326.0
52,C101,binary_roulette_wheel_single_point_interchanging,binary,2330.9642005321207,2.906804945038298,169.0
53,C101,binary_roulette_wheel_single_point_uniform,binary,3461.031720243637,19.84557907562464,325.0
54,C101,binary_roulette_wheel_two_point_bit_flip,binary,3465.9418398066164,19.972236698171496,331.0
55,C101,binary_roulette_wheel_two_point_interchanging,binary,2113.517143784558,2.992365867312061,122.0
56,C101,binary_roulette_wheel_two_point_uniform,binary,3453.608493410472,19.85258536482188,313.0
57,C101,binary_roulette_wheel_uniform_bit_flip,binary,3454.569358646176,19.96491547085441,315.0
58,C101,binary_roulette_wheel_uniform_interchanging,binary,1825.1774224806663,3.243956533615383,85.0
59,C101,binary_roulette_wheel_uniform_uniform,binary,3458.7356930755523,19.85842061637953,323.0
60,C101,binary_stochastic_universal_multi_point_bit_flip,binary,3482.45333892582,19.96334425958273,346.0
61,C101,binary_stochastic_universal_multi_point_interchanging,binary,2082.370772672313,2.937490450039356,105.0
62,C101,binary_stochastic_universal_multi_point_uniform,binary,3457.14442473743,19.822696154256672,318.0
63,C101,binary_stochastic_universal_shuffle_bit_flip,binary,3457.340207767854,19.968936507872776,321.0
64,C101,binary_stochastic_universal_shuffle_interchanging,binary,1941.981029440662,3.2857566609110527,94.0
65,C101,binary_stochastic_universal_shuffle_uniform,binary,3486.6183319515367,19.84112237666424,349.0
66,C101,binary_stochastic_universal_single_point_bit_flip,binary,3479.6740341134805,19.966091161539776,341.0
67,C101,binary_stochastic_universal_single_point_interchanging,binary,2336.502472585912,2.6029900021353547,172.0
68,C101,binary_stochastic_universal_single_point_uniform,binary,3454.6278690820764,19.854876123196306,316.0
69,C101,binary_stochastic_universal_two_point_bit_flip,binary,3431.221335495424,19.9686484050076,297.0
70,C101,binary_stochastic_universal_two_point_interchanging,binary,2169.611147547331,2.963048638184446,137.0
71,C101,binary_stochastic_universal_two_point_uniform,binary,3466.64369112893,19.862093505139512,333.0
72,C101,binary_stochastic_universal_uniform_bit_flip,binary,3480.8117174002195,19.968573311045184,342.0
