Representation,Crossover,C1,C2,R1,R2,RC1,RC2,Global_Avg
permutation,scx,1234.6787789021641,1018.6712613881839,1210.4269521820395,989.4821003434276,1463.6619552364314,1135.824838741154,1175.4576477989
permutation,cx,2189.3566145079803,1992.2598606986935,1923.3621366686666,1725.9233165629148,2490.119208617463,2198.7288384431076,2086.624995916471
permutation,pmx,2268.9899060632592,2073.457489747004,2003.199512790063,1798.2855652425544,2594.47703381996,2295.0169563688314,2172.2377440052787
permutation,pos,2276.6625676277886,2100.1963501139317,1987.6329796967252,1818.6356785581797,2601.9422673932863,2316.235700316965,2183.550923951146
permutation,obx,2280.6176509841735,2102.895221425815,1992.52898807503,1815.3888028591032,2606.625582896466,2323.2806869190604,2186.889488859941
permutation,ox,2311.5426063299087,2107.2023977114495,2034.5326373079595,1821.366282784304,2651.6889521661697,2338.8377630947925,2210.8617732324306
real_valued,flat,2810.899727549466,2698.185140203441,2429.634975838358,2300.889987439881,3207.2145547015307,3014.4613619975203,2743.5476246217
real_valued,sbx,2667.389656048292,2688.090043277354,2552.314724915732,2438.325614666197,3358.7920584924022,3166.35679047951,2811.8781479799145
permutation,erx,2968.800359993669,2785.4918166628877,2552.719487902897,2364.5689094689183,3356.896327744959,3083.04328449462,2851.920031044658
binary,uniform,2932.587625343582,2835.8738078452034,2526.148085248393,2408.7463442605085,3321.9753182368354,3128.4185314242095,2858.958285393122
binary,shuffle,2981.809987967859,2876.6261868200345,2564.6198063110674,2435.040216341066,3373.9822428901093,3182.6802163143416,2902.459776107413
binary,multi_point,3004.845577742183,2893.9112681358424,2583.451410654022,2458.9714628844836,3403.597918097892,3209.117789902564,2925.6492379028314
binary,two_point,3022.693089382513,2906.657327435733,2599.3894556601877,2468.7568069091612,3419.5402757995853,3220.767072508679,2939.6340046159767
binary,single_point,3031.9737301210353,2925.673764873135,2607.2575476481147,2476.7573090919695,3439.749061539861,3235.6061389677084,2952.836258706971
real_valued,blx_alpha,3227.8350057220696,3158.05439759626,2776.4557612851286,2664.4039997823274,3673.2370042515518,3505.0650938379354,3167.508543745879
