Representation,Selection,Crossover,Mutation,Combination,Fitness
permutation,rank,scx,inversion,permutation_rank_scx_inversion,965.5755078548824
permutation,roulette_wheel,scx,inversion,permutation_roulette_wheel_scx_inversion,974.3975003077582
permutation,tournament,scx,inversion,permutation_tournament_scx_inversion,974.7598018413181
permutation,stochastic_universal,scx,inversion,permutation_stochastic_universal_scx_inversion,982.3809909826285
permutation,roulette_wheel,scx,scramble,permutation_roulette_wheel_scx_scramble,999.1611283199425
permutation,stochastic_universal,scx,scramble,permutation_stochastic_universal_scx_scramble,1007.772104567741
permutation,roulette_wheel,scx,swap,permutation_roulette_wheel_scx_swap,1036.2382847337474
permutation,roulette_wheel,scx,displacement,permutation_roulette_wheel_scx_displacement,1044.9071851827455
permutation,rank,scx,scramble,permutation_rank_scx_scramble,1045.5400554416935
permutation,stochastic_universal,scx,swap,permutation_stochastic_universal_scx_swap,1050.7797978040423
permutation,stochastic_universal,scx,displacement,permutation_stochastic_universal_scx_displacement,1057.7416464404891
permutation,rank,scx,swap,permutation_rank_scx_swap,1058.2872524899658
permutation,roulette_wheel,scx,insert,permutation_roulette_wheel_scx_insert,1058.6992581485267
permutation,tournament,scx,swap,permutation_tournament_scx_swap,1062.5341843650162
permutation,tournament,scx,insert,permutation_tournament_scx_insert,1070.8596634305125
permutation,rank,scx,insert,permutation_rank_scx_insert,1076.332970869024
permutation,stochastic_universal,scx,insert,permutation_stochastic_universal_scx_insert,1077.1008940253112
permutation,rank,scx,displacement,permutation_rank_scx_displacement,1084.2031722743022
permutation,tournament,scx,scramble,permutation_tournament_scx_scramble,1114.8054358946642
permutation,elitism,scx,inversion,permutation_elitism_scx_inversion,1135.8447897185301
