Representation,Mutation,C1,C2,R1,R2,RC1,RC2,Global_Avg
permutation,swap,1967.7410858377516,1782.438701834899,1744.417308796416,1561.4741429900703,2250.485363979118,1976.9586581775006,1880.585876935959
permutation,insert,2041.7445516271478,1808.5879781606616,1794.3105915933108,1580.494268984443,2323.4668504932524,1998.6787430865177,1924.5471639908885
binary,interchanging,2089.370370531774,1866.5430482311301,1821.3563333346651,1622.6495408374294,2359.843073574704,2055.519699708521,1969.213677703037
permutation,inversion,2257.6191455840403,2048.583871491761,1994.8940394130982,1788.6370778957703,2578.095905084026,2265.8629661574782,2155.6155009376957
permutation,scramble,2401.4125099266507,2268.161290464851,2107.7289207237013,1949.6903245143549,2740.244128105557,2502.690429169905,2328.3212671508363
permutation,displacement,2424.8030530307983,2220.9241564392323,2147.508207061602,1929.4546540577921,2797.2872722485718,2463.6435379646914,2330.6034801337814
real_valued,polynomial,2599.684894338155,2538.5884201230556,2335.2146244087894,2196.430216086899,3124.589261290718,2905.435933164956,2616.657224902095
real_valued,gaussian,2704.2501376388345,2651.6809684065424,2507.5898593030774,2387.8285269587263,3261.4153172822425,3074.2507199378706,2764.5025882545488
real_valued,uniform,3402.189357342838,3354.060192547457,2915.6009783273507,2819.3608588427805,3853.2390388725235,3706.1965932121384,3341.7745031908476
binary,uniform,3434.2773632093827,3386.5611860128747,2945.0852411625156,2855.309301551538,3894.3898562013896,3752.0939405452814,3377.9528147804963
binary,bit_flip,3460.6982725931466,3410.141178821965,2962.0782088158903,2871.0044413033465,3921.073960162477,3778.340209216699,3400.556045152254
