Representation,C1,C2,R1,R2,RC1,RC2,Global_Avg
permutation,2218.6640692012775,2025.7391996782808,1957.7718135176256,1761.950093688486,2537.9159039821047,2241.5668669112188,2123.9346578298323
real_valued,2902.0414631066096,2848.1098603590185,2586.1351540130727,2467.8732006294686,3413.0812058151614,3228.627748771655,2907.644772115831
binary,2994.782002111435,2887.7484710219896,2576.1732611043567,2449.6544278974375,3391.768963312857,3195.3179498235004,2915.907512545263
