Representation,Selection,Crossover,Mutation,Combination,Fitness
real_valued,tournament,flat,polynomial,real_valued_tournament_flat_polynomial,1865.9527654901854
real_valued,rank,flat,polynomial,real_valued_rank_flat_polynomial,2006.4937425331625
real_valued,tournament,flat,gaussian,real_valued_tournament_flat_gaussian,2115.536037803277
real_valued,stochastic_universal,flat,polynomial,real_valued_stochastic_universal_flat_polynomial,2162.6495135794744
real_valued,roulette_wheel,flat,polynomial,real_valued_roulette_wheel_flat_polynomial,2186.3003014805536
real_valued,rank,flat,gaussian,real_valued_rank_flat_gaussian,2233.531181536876
real_valued,tournament,sbx,polynomial,real_valued_tournament_sbx_polynomial,2256.536038849439
real_valued,rank,sbx,polynomial,real_valued_rank_sbx_polynomial,2361.9372625693095
real_valued,roulette_wheel,flat,gaussian,real_valued_roulette_wheel_flat_gaussian,2366.581076979296
real_valued,stochastic_universal,flat,gaussian,real_valued_stochastic_universal_flat_gaussian,2383.823794183919
real_valued,tournament,sbx,gaussian,real_valued_tournament_sbx_gaussian,2392.749133055437
real_valued,stochastic_universal,sbx,polynomial,real_valued_stochastic_universal_sbx_polynomial,2435.504514461118
real_valued,roulette_wheel,sbx,polynomial,real_valued_roulette_wheel_sbx_polynomial,2452.2153463011896
real_valued,elitism,sbx,gaussian,real_valued_elitism_sbx_gaussian,2478.7077905998517
real_valued,elitism,sbx,polynomial,real_valued_elitism_sbx_polynomial,2491.361643058023
real_valued,rank,sbx,gaussian,real_valued_rank_sbx_gaussian,2524.17448667189
real_valued,stochastic_universal,sbx,gaussian,real_valued_stochastic_universal_sbx_gaussian,2581.8966253084595
real_valued,tournament,blx_alpha,polynomial,real_valued_tournament_blx_alpha_polynomial,2594.3344836065658
real_valued,roulette_wheel,sbx,gaussian,real_valued_roulette_wheel_sbx_gaussian,2602.252369232402
real_valued,elitism,flat,polynomial,real_valued_elitism_flat_polynomial,2817.241450471342
