Combination,Rank,FinalFitness,Encoding
permutation_rank_scx_inversion,1.8333333333333333,1093.454470565077,permutation
permutation_roulette_wheel_scx_inversion,2.5,1101.0372433156517,permutation
permutation_tournament_scx_inversion,2.6666666666666665,1097.3487684557317,permutation
permutation_stochastic_universal_scx_inversion,4.166666666666667,1114.497039028409,permutation
permutation_roulette_wheel_scx_scramble,4.833333333333333,1121.4826208514266,permutation
permutation_stochastic_universal_scx_scramble,5.5,1129.9285543856688,permutation
permutation_roulette_wheel_scx_swap,8.333333333333334,1161.628077856398,permutation
permutation_roulette_wheel_scx_displacement,9.666666666666666,1169.9968984792747,permutation
permutation_stochastic_universal_scx_swap,10.0,1171.899766599872,permutation
permutation_stochastic_universal_scx_displacement,10.666666666666666,1176.5120416209527,permutation
permutation_rank_scx_scramble,11.666666666666666,1182.2079332509918,permutation
permutation_tournament_scx_insert,12.833333333333334,1192.5350276914633,permutation
permutation_rank_scx_swap,12.833333333333334,1190.1061625731195,permutation
permutation_roulette_wheel_scx_insert,13.333333333333334,1187.5883988825487,permutation
permutation_tournament_scx_swap,13.833333333333334,1195.4151859684332,permutation
