Method,Avg_Rank,Mean_Fitness
permutation_stochastic_universal_scx_inversion,4.339285714285714,982.3809909826286
permutation_rank_scx_inversion,7.455357142857143,1023.2082794324276
permutation_stochastic_universal_scx_scramble,7.625,1007.7721045677412
permutation_roulette_wheel_scx_inversion,8.080357142857142,1031.7858148843927
permutation_tournament_scx_inversion,8.133928571428571,1031.8621043628957
permutation_roulette_wheel_scx_scramble,11.330357142857142,1056.511819154702
permutation_stochastic_universal_scx_swap,13.732142857142858,1050.7797978040423
permutation_stochastic_universal_scx_displacement,15.357142857142858,1057.7416464404891
permutation_roulette_wheel_scx_swap,16.169642857142858,1092.8055564799056
permutation_elitism_scx_inversion,16.428571428571427,1135.84478971853
permutation_roulette_wheel_scx_displacement,17.723214285714285,1101.2184920342518
permutation_rank_scx_scramble,17.723214285714285,1101.7013398411998
permutation_elitism_ox_inversion,18.214285714285715,1178.93124115238
permutation_stochastic_universal_scx_insert,18.767857142857142,1077.1008940253112
permutation_boltzmann_pos_inversion,19.392857142857142,1189.66662584114
permutation_rank_scx_swap,20.241071428571427,1113.857097754811
permutation_elitism_pmx_inversion,20.25,1189.4144034555331
permutation_boltzmann_ox_inversion,20.357142857142858,1197.5981951402953
permutation_boltzmann_scx_inversion,20.696428571428573,1198.3932204722994
permutation_roulette_wheel_scx_insert,20.758928571428573,1114.8539617318424
permutation_boltzmann_obx_inversion,20.964285714285715,1205.4123531165485
permutation_tournament_scx_swap,20.973214285714285,1118.5545164646524
permutation_boltzmann_pmx_inversion,21.0,1202.8231091589078
permutation_tournament_scx_insert,22.026785714285715,1126.6597113153389
permutation_rank_scx_insert,22.508928571428573,1132.079162750663
permutation_boltzmann_cx_inversion,23.767857142857142,1230.1414781560477
permutation_rank_scx_displacement,24.6875,1139.640223524611
permutation_elitism_scx_swap,25.482142857142858,1212.254189169121
permutation_tournament_scx_scramble,27.508928571428573,1170.225885566019
permutation_tournament_scx_displacement,28.651785714285715,1191.0783741011746
permutation_elitism_scx_insert,30.660714285714285,1281.840921679145
permutation_elitism_obx_inversion,31.660714285714285,1298.0653422297023
permutation_elitism_pos_inversion,32.55357142857143,1309.3111313414236
permutation_elitism_cx_inversion,38.910714285714285,1359.970857557417
permutation_boltzmann_scx_swap,39.517857142857146,1390.148678907622
permutation_tournament_pmx_inversion,40.723214285714285,1392.8601081505178
permutation_tournament_ox_inversion,43.74107142857143,1427.2301731034854
permutation_boltzmann_scx_insert,45.92857142857143,1423.2292938841435
permutation_elitism_scx_scramble,46.285714285714285,1420.929732975567
permutation_elitism_pmx_displacement,46.82142857142857,1417.2050144829934
permutation_elitism_pmx_insert,47.92857142857143,1442.731637224898
permutation_elitism_ox_swap,47.96428571428572,1444.206536113613
permutation_elitism_scx_displacement,49.58928571428572,1440.5682977587926
permutation_elitism_ox_insert,50.285714285714285,1452.9745955666665
permutation_boltzmann_ox_swap,50.517857142857146,1464.354656316577
permutation_boltzmann_pmx_swap,50.642857142857146,1465.448217035622
permutation_boltzmann_pos_swap,51.785714285714285,1472.588299372275
permutation_boltzmann_ox_insert,51.83928571428572,1463.0170350333049
permutation_elitism_ox_displacement,52.017857142857146,1445.458343479781
permutation_boltzmann_cx_swap,52.32142857142857,1473.313619195468
permutation_boltzmann_obx_swap,52.375,1476.473555730215
