Method,Avg_Rank,Mean_Fitness
permutation_boltzmann_pmx_insert,52.92857142857143,1468.9629840744767
permutation_elitism_pmx_swap,53.23214285714285,1480.7939019235728
permutation_boltzmann_cx_insert,54.67857142857143,1477.2845382229164
permutation_boltzmann_pos_insert,54.83928571428572,1480.297980735225
permutation_elitism_cx_swap,55.60714285714285,1493.2261096919017
permutation_boltzmann_obx_insert,56.73214285714285,1490.218214446122
permutation_elitism_cx_insert,58.44642857142857,1498.9769751688111
permutation_tournament_pmx_swap,61.955357142857146,1548.2614797152903
permutation_elitism_obx_swap,62.58928571428572,1531.7332266498695
permutation_tournament_pos_swap,63.29464285714285,1568.9667776250287
permutation_elitism_pos_swap,63.375,1537.0205333468546
permutation_tournament_obx_swap,63.41964285714285,1562.9836899290055
permutation_boltzmann_pmx_displacement,68.53571428571429,1566.5307239863266
permutation_tournament_pmx_insert,68.54464285714286,1585.1576654935022
permutation_boltzmann_pos_displacement,68.67857142857143,1573.0454900374218
permutation_elitism_pos_displacement,68.875,1566.9413217373003
permutation_tournament_ox_swap,68.88392857142857,1586.623490092057
permutation_elitism_obx_displacement,68.94642857142857,1568.4292038896106
permutation_tournament_ox_insert,69.11607142857143,1581.9568454867317
permutation_tournament_cx_swap,69.50892857142857,1592.1537190237327
permutation_boltzmann_obx_displacement,69.71428571428571,1577.965608979474
permutation_boltzmann_ox_displacement,69.80357142857143,1574.88111537962
binary_rank_uniform_interchanging,70.03571428571429,1586.330450821148
permutation_boltzmann_scx_displacement,70.42857142857143,1577.7534259018933
permutation_elitism_pos_insert,70.92857142857143,1584.8521300301
permutation_elitism_obx_insert,72.64285714285714,1593.3036794184247
permutation_boltzmann_cx_displacement,73.33928571428571,1597.6965196299457
permutation_tournament_cx_insert,75.45535714285714,1629.1149154462637
binary_tournament_uniform_interchanging,77.76785714285714,1655.5937412844874
permutation_rank_pmx_swap,78.58035714285714,1668.903510314293
permutation_tournament_pos_insert,81.3125,1698.6399817625622
binary_stochastic_universal_uniform_interchanging,81.91071428571429,1696.8318112414029
permutation_elitism_cx_displacement,82.58928571428571,1678.8913636932446
permutation_tournament_obx_insert,82.74107142857143,1710.4904401244978
binary_roulette_wheel_uniform_interchanging,84.76785714285714,1717.1490560036784
permutation_rank_cx_swap,86.08035714285714,1733.309632823812
binary_rank_shuffle_interchanging,89.94642857142857,1760.7459695496311
permutation_tournament_ox_displacement,90.1875,1756.1572188824666
permutation_tournament_obx_scramble,90.20535714285714,1778.1071541469682
permutation_tournament_pos_scramble,90.27678571428572,1777.113124580714
permutation_rank_cx_insert,92.29464285714286,1785.2471765380983
