Representation,Avg_Rank_Mean,Best_Rank,Count,Global_Mean_Fitness
permutation,132.99175170068028,4.339285714285714,210,2114.2019791521943
real_valued,230.9728835978836,101.05357142857144,54,2861.0205489751283
binary,249.2688492063492,70.03571428571429,90,2868.0714095070316
